Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Dio3os,[0.01643402 0.11172022 1.82622105],[0.0008217       nan       nan],[16.3463782        nan        nan],0.23
Dip2a,[0.10160224 0.50776648 1.        ],[0.00508011        nan        nan],[1.96940925        nan        nan],0.17
Dip2c,[0.04486303 0.47026321 1.34266635],[1.38777878e-17            nan            nan],[2.85513797        nan        nan],0.12
Dirc2,[0.35831462 1.07153545 3.16730939],[0.35831462 0.11634191 0.7342157 ],[2.95586057        nan        nan],0.79
Dis3,[  1.00537171  60.2128967  121.12593498],[1.00537171 0.70373137 1.32406008],[2.01162777 1.52154058 2.6579174 ],1.99
Dixdc1,[0.06222628 1.23755156 3.18627725],[0.00311131        nan        nan],[2.57466223        nan        nan],0.15
Dlat,[ 0.85708104 11.5552823  17.251278  ],[0.81422699 0.4306755  1.28939429],[1.67208649 0.90886288 4.12150621],1.19
Dlc1,[ 0.03612638  0.14891084 12.52214323],[0.03612638 0.01042468 0.09352196],[ 84.09154978  27.16891344 322.74960952],2.44
Dld,[0.73354343 1.06888784 4.32433682],[0.73354343 0.40484311 1.30798018],[4.04564135 1.7013924  9.61513092],1.76
Dlg1,[1.36514064 0.06355371 1.        ],[2.22044605e-16            nan            nan],[0.15734722        nan        nan],0.96
Dlg5,[0.73705023 0.28115041 5.26142419],[0.73705023 0.37794849 1.34394408],[18.71391249  7.24713271 52.14096126],3.81
Dlgap4,[0.11535012 0.61607923 4.93961082],[0.11535012 0.05804256 0.21251951],[ 8.01781749  3.80075127 17.57925547],0.78
Dlgap5,[  1.22903874 123.11551734 257.30424786],[1.10613487 0.7652378  1.55424724],[2.08994165 1.59501361 2.73408926],2.54
Dll3,[0.0029142  0.06584538 1.86861436],[3.90312782e-18            nan            nan],[68.39296056         nan         nan],0.08
Dlst,[0.2931693  0.99181091 4.84535033],[0.2931693  0.15927659 0.47889234],[ 4.88535697  2.56269707 10.52316391],1.11
Dmpk,[0.07346174 3.05868826 5.40520541],[0.00367309        nan        nan],[1.76716453        nan        nan],0.13
Dmtf1,[0.87212306 3.44599254 4.78811413],[0.87212306 0.26689917 1.84803203],[1.38947316        nan        nan],0.97
Dmxl1,[0.31525513 2.58917453 8.30510417],[0.31525513 0.20163137 0.50911768],[3.20762624 1.69134145 5.68137039],0.9
Dna2,[1.40056178 0.26102966 1.55975624],[0.07002809        nan        nan],[0.05975398        nan        nan],1.31
Dnaja1,[ 0.42912844  0.63054133 35.3853389 ],[0.42912844 0.21451797 0.78394072],[ 56.11898395  26.41996877 132.66175541],14.33
Dnaja2,[   3.37043345  967.7394136  1448.73020529],[3.20191178 2.56296984 4.18164786],[1.40720361        nan        nan],5.03
Dnajb11,[0.74475309 1.43138181 6.5895627 ],[0.74475309 0.44464093 1.21025777],[4.6036373  2.19451206 9.91527897],2.26
Dnajb12,[0.48635372 2.82581517 8.94862641],[0.48635372 0.31638846 0.77584842],[3.16674158 1.66340714 5.67034831],1.31
Dnajb14,[0.22784814 3.41157142 7.31186815],[0.22784814 0.13017863 0.39560387],[2.14325519 1.10338302 4.22754184],0.46
Dnajb2,[0.40541926 5.92056219 6.48800817],[0.40541926 0.11895255 0.77135624],[1.09584326        nan        nan],0.42
Dnajb4,[0.02270068 0.39734484 2.44533539],[0.00113503        nan        nan],[6.15418936        nan        nan],0.13
Dnajb9,[0.02660606 0.4524209  1.        ],[3.46944695e-18            nan            nan],[2.21033111        nan        nan],0.06
Dnajc1,[ 0.28498784 14.57850194 23.9715178 ],[0.29923724 0.15236638 0.46477208],[1.64430597 0.93381668 3.48557056],0.46
Dnajc10,[ 0.68627949  5.27055406 11.47732412],[0.68627949 0.4363051  1.08939966],[2.17763142 1.1938674  4.11042017],1.32
Dnajc11,[0.90774305 1.00206429 6.49888683],[0.90774305 0.58962685 1.42619013],[ 6.48549887  3.21898267 12.50600747],3.09
Dnajc12,[ 0.23691814 38.76510231 45.76594072],[0.23691814 0.15026738 0.40113621],[1.14517852 0.65116284 2.04781324],0.28
Dnajc14,[0.1040044 0.1454575 3.7861828],[1.38777878e-17            nan            nan],[26.02947825         nan         nan],1.58
Dnajc17,[0.45831304 2.60671684 5.05798922],[0.45831304 0.25234403 0.80909416],[1.94036772 0.8792306  4.23264242],0.76
Dnajc18,[  0.46105343 130.71989259 149.66558843],[0.4841061  0.33552083 0.75000214],[1.04188951 0.65039437 1.61531182],0.53
Dnajc19,[ 1.02657601  0.97083037 17.62863301],[1.02657601 0.77849884 1.36132363],[18.15830409 11.72472775 27.42940043],9.06
