Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
0610007P14Rik,[ 1.0427241   6.11123278 13.12846651],[1.0427241  0.67033022 1.65138972],[2.14825175 1.15496355 4.19066797],1.91
0610009B22Rik,[ 0.68750667  2.93398033 15.19091693],[0.68750667 0.51020627 0.94249947],[5.17757969 3.26988793 7.9075878 ],2.88
0610012G03Rik,[ 0.07615238  0.55225568 30.16382454],[0.07615238 0.03715842 0.14418434],[ 54.61931035  23.01483253 134.47823461],3.66
0610031J06Rik,[  3.53675429 211.00833334 377.51205703],[2.82940343 1.90195691 4.49232265],[1.78908601 1.38865988 2.28789731],6.22
1110004E09Rik,[0.14070869 0.66150582 8.99383602],[0.10553152 0.05632796 0.18937627],[20.52996669  9.57765083 41.81570777],1.58
1110007C09Rik,[0.10296972 0.54526699 3.41119043],[0.10296972 0.02694999 0.19575263],[6.25600028        nan        nan],0.54
1110008L16Rik,[  1.11161428  84.20181166 204.2512443 ],[1.11161428 0.89374659 1.41816734],[2.42573456 1.88276989 3.11370293],2.66
1110032A03Rik,[0.01298364 0.15345276 1.03435522],[3.46944695e-18            nan            nan],[4.92059793        nan        nan],0.08
1110037F02Rik,[0.39914551 0.70742474 5.53122775],[0.39914551 0.27050833 0.58306443],[ 7.81882149  4.66151117 13.09000496],2.0
1110038B12Rik,[  3.00939784 430.36533589 566.95869422],[3.00939784 2.33532251 3.96718933],[1.31738931 0.98962092 1.72010797],3.94
1110038F14Rik,[1.00509275 1.36883242 4.3426994 ],[1.00509275 0.44324337 2.38286496],[ 3.17255738  0.78223542 11.10459322],1.84
1110051M20Rik,[0.03604828 0.30433247 3.87481218],[0.03604828 0.0077411  0.07499784],[12.73216828         nan         nan],0.41
1110057K04Rik,[0.27825847 1.19778932 6.11152358],[0.27825847 0.17598349 0.4237373 ],[5.10233602 2.93220709 9.11366758],1.15
1110058L19Rik,[0.45004677 1.35034832 6.86197448],[0.45004677 0.30958468 0.65803066],[5.08163293 2.99296414 8.40735773],1.72
1110059E24Rik,[ 1.03693888 34.96153771 55.52217061],[1.03693888 0.6077633  1.4377842 ],[1.58809292 1.0984723  3.64462429],1.6
1190007I07Rik,[  0.99320706 193.79548287 247.31868821],[0.99320706 0.76165173 1.38594678],[1.23789845 0.8902906  1.7151615 ],1.26
1300002E11Rik,[0.81531263 4.2696662  5.54509953],[0.81531263 0.35633984 1.61384697],[1.29871968 0.54829511 4.24009805],0.89
1300002K09Rik,[0.00353599 0.10556066 1.06561026],[0.0001768       nan       nan],[34.01936294         nan         nan],0.03
1500009L16Rik,[0.12389131 0.45775819 2.37587147],[0.00619457        nan        nan],[5.1902326       nan       nan],0.51
1500011B03Rik,[0.37681499 1.05146933 8.83979206],[0.37681499 0.27304923 0.51716104],[ 8.40708505  5.44403874 12.93798035],2.33
1500012F01Rik,[  1.5099733  275.26101998 679.56613978],[1.5099733  1.2147882  1.88853378],[2.4688063  1.93678074 3.1436932 ],3.71
1500015A07Rik,[0.02204468 0.45215624 2.08749186],[3.46944695e-18            nan            nan],[4.61674901        nan        nan],0.1
1600012H06Rik,[0.05025273 0.16066491 1.45524794],[0.00251264        nan        nan],[9.05765881        nan        nan],0.35
1700001L05Rik,[0.10493739 1.01070537 6.10073512],[0.10493739 0.06049776 0.17266477],[ 6.03611628  3.27251726 11.43815302],0.57
1700010I14Rik,[0.01566848 0.12139793 1.        ],[3.46944695e-18            nan            nan],[8.23737268        nan        nan],0.11
1700017B05Rik,[0.15085055 0.44829941 2.8927708 ],[8.32667268e-17            nan            nan],[6.45276515        nan        nan],0.73
1700020I14Rik,[0.19299644 0.57568315 4.43409293],[0.19299644 0.10824459 0.31318418],[ 7.70231497  4.18209734 15.36657075],1.11
1700021F05Rik,[ 1.14982775  4.78941628 17.67303111],[1.14982775 0.83088704 1.70105969],[3.69001776 2.0922699  6.04974033],3.42
1700025G04Rik,[ 0.39302766 48.18168842 63.80380135],[0.39302766 0.27075934 0.5941775 ],[1.32423341 0.84666494 2.06973004],0.52
1700030J22Rik,[0.04604848 2.17149919 3.14526831],[0.00230242        nan        nan],[1.44843172        nan        nan],0.07
1700030K09Rik,[0.2409682  3.88846926 4.57188919],[0.01204841        nan        nan],[1.17575552        nan        nan],0.27
1700037H04Rik,[0.70582789 2.18931242 7.39075913],[0.70582789 0.41314521 1.1793125 ],[3.37583575 1.54997911 7.39297001],1.8
1700052N19Rik,[  0.7916048   76.69977745 133.37526375],[0.83118504 0.62320043 1.04752161],[1.73892635 1.29049465 2.34126567],1.36
1700123O20Rik,[0.76574169 1.64753354 5.97047756],[0.76574169 0.49726448 1.22932396],[3.62388833 1.77944218 6.75420773],1.89
1810009A15Rik,[ 1.05289959  1.72965504 33.16784341],[1.05289959 0.85375578 1.30835229],[19.17598754 13.84049339 25.85355192],12.55
1810013L24Rik,[ 0.73521352 13.0376836  41.3586473 ],[0.73521352 0.52478737 0.98362327],[3.17223892 2.17584678 5.20491089],2.21
1810014B01Rik,[ 0.04579425  5.53253911 10.54590568],[0.04579425 0.00877614 0.11461892],[1.90616017        nan        nan],0.09
1810032O08Rik,[ 0.8008838  21.70153758 25.08342272],[0.8008838  0.44094978 1.22522045],[1.1558362  0.72708374 2.69741228],0.89
1810037I17Rik,[  2.08578168  73.99551886 275.37652368],[2.19007076 1.65592393 2.58842363],[3.72152973 2.91825929 4.56348693],7.55
1810043H04Rik,[0.86527952 1.93790844 7.29589826],[0.86527952 0.57508743 1.36034202],[3.76483126 1.88027194 6.87963309],2.25
1810058I24Rik,[  3.10658702  65.73874972 113.36611722],[3.10658702 1.93600912 4.18491263],[1.72449457 1.24718496 3.83298655],5.12
2010107E04Rik,[ 1.9482037   2.52411488 34.87435903],[1.9482037  1.51544638 2.55739739],[13.8164706   8.8231235  20.27926671],15.19
2010107G23Rik,[  0.76460075 163.4449992  231.23548258],[0.9175209  0.66234237 1.27701214],[1.16010338 0.80129603 1.62627861],1.08
2200002D01Rik,[ 0.12782338 79.22469031 80.17295938],[0.12782338 0.08684964 0.26832953],[1.01196936 0.44448579 2.27362986],0.13
2210016F16Rik,[0.49482312 2.38604909 9.1922789 ],[0.49482312 0.33825624 0.73597392],[3.85251038 2.20077773 6.46077328],1.58
2210016L21Rik,[ 1.41034062  3.88195983 13.04596803],[1.41034062 0.92969042 2.29057142],[3.36066538 1.53456405 6.58991221],3.48
2210018M11Rik,[ 0.50330204  6.50757277 13.58874163],[0.50330204 0.31051463 0.78371422],[2.08814286 1.20534306 3.99708298],0.98
2300009A05Rik,[ 0.08417571 39.39769789 80.94329561],[0.08417571 0.05346014 0.15105122],[1.99288286 1.00711377 4.32646299],0.17
2310003H01Rik,[0.16804631 0.68525892 2.96333795],[0.00840232        nan        nan],[4.32440624        nan        nan],0.58
2310009A05Rik,[0.31684961 2.0709704  5.41975849],[0.31684961 0.1875186  0.54922784],[2.61701397 1.26992303 5.04798127],0.72
2310009B15Rik,[0.02377424 0.73123471 7.74150895],[0.02377424 0.01157909 0.0460931 ],[10.5869003   4.61081296 24.32623463],0.24
2310011J03Rik,[0.41115229 1.42207751 4.4102991 ],[0.41115229 0.20545869 0.7410787 ],[3.10130711 1.37917318 7.66242569],0.99
2310014L17Rik,[0.01979872 0.82840142 2.30974615],[0.00098994        nan        nan],[2.78819674        nan        nan],0.05
2310022B05Rik,[  1.24623291 446.4378131  623.68035207],[1.24623291 0.96038106 1.66449631],[1.39701507 1.02279416 1.8641583 ],1.74
2310033P09Rik,[0.11638769 0.24852426 3.08002451],[5.55111512e-17            nan            nan],[12.39325478         nan         nan],0.98
2310039H08Rik,[  0.6923302  334.78484891 381.27285443],[0.6923302  0.48331698 1.00648981],[1.13885935 0.76101601 1.68914192],0.79
2310040G24Rik,[0.06673581 3.00417746 5.35874862],[0.00333679        nan        nan],[1.78376567        nan        nan],0.12
2310057M21Rik,[0.11838076 0.35369933 3.66740988],[0.11838076 0.04914548 0.20720235],[10.36872159  5.332877   27.60476632],0.92
2310068J16Rik,[0.11456606 0.69868852 1.        ],[0.0057283       nan       nan],[1.43125294        nan        nan],0.14
2410004B18Rik,[0.29432891 0.95696181 3.43031521],[0.29432891 0.06268155 0.64625764],[3.58458943        nan        nan],0.81
2410004N09Rik,[  1.02205325  53.28096769 150.30028379],[1.07315591 0.80809265 1.30186874],[2.82090004 2.21095889 3.61240462],2.83
2410006H16Rik,[ 1.68628033  6.29856622 31.91788567],[1.68628033 1.27071216 2.36404324],[5.06748434 2.927302   7.85606852],6.74
2410015M20Rik,[ 1.93623902  4.08137496 25.35251145],[1.93623902 1.42658818 2.72219867],[ 6.21175748  3.50246083 10.21686633],8.16
2410016O06Rik,[0.64332203 1.36489102 4.83146096],[0.64332203 0.33339338 1.19871147],[3.53981446 1.38288322 9.01416575],1.55
2410127L17Rik,[  1.00756977  91.50721785 134.51944171],[1.00756977 0.71649935 1.48982642],[1.47004187 0.98007626 2.17162668],1.47
2410131K14Rik,[0.00290616 0.00476335 1.37770892],[0.00072654        nan        nan],[2.89230914        nan        nan],0.52
2510002D24Rik,[0.31968535 1.6679352  6.04560617],[0.31968535 0.21194175 0.4951195 ],[3.62460495 2.02839194 6.0962654 ],0.97
2510003E04Rik,[0.08858468 0.20105139 1.84727351],[0.00442923        nan        nan],[9.18806653        nan        nan],0.56
2510009E07Rik,[ 0.47288974 68.46894331 81.93307063],[0.47288974 0.32306841 0.72743564],[1.19664576 0.73471617 1.87286775],0.56
2610001J05Rik,[0.36388192 0.7420558  3.74873293],[0.36388192 0.16354536 0.67094064],[ 5.0518208   2.17121944 14.05202852],1.23
2610015P09Rik,[  0.5891344  120.84921731 126.87654938],[0.64804784 0.4473319  0.98609835],[0.92388984 0.59743104 1.43080119],0.62
2610301B20Rik,[0.07950267 0.52650201 2.32299402],[5.55111512e-17            nan            nan],[4.41212755        nan        nan],0.3
2610306M01Rik,[0.01958174 0.82847956 2.31002665],[0.00097909        nan        nan],[2.78827237        nan        nan],0.05
2610318N02Rik,[0.48468938 0.88599938 4.05920518],[0.48468938 0.22994458 0.87536529],[ 4.5814989   1.97830949 12.52587981],1.44
2610507B11Rik,[  2.21030659 332.29166902 758.281742  ],[2.21030659 1.79140783 2.73752205],[2.28197639 1.81856064 2.86784631],5.01
2610524H06Rik,[0.20808319 1.36317939 4.20452635],[0.20808319 0.07678339 0.39353503],[3.08435293 1.40636986 9.84606622],0.56
2700060E02Rik,[0.06547629 0.0338143  7.83772121],[0.00327381        nan        nan],[920.19514031          nan          nan],5.17
2700081O15Rik,[0.06000842 0.06589911 4.07033983],[0.00300042        nan        nan],[61.76623788         nan         nan],1.94
2700097O09Rik,[ 0.66555786  1.08236856 11.33747111],[0.66555786 0.48417157 0.90116079],[10.47468624  6.69150605 16.76434873],4.32
2700099C18Rik,[ 0.32800448  5.31768791 18.59514252],[0.32800448 0.22774576 0.47245241],[3.49684728 2.19092119 5.65921456],1.08
2810002D19Rik,[0.03672513 0.11599732 1.        ],[0.00183626        nan        nan],[8.62088911        nan        nan],0.24
2810004N23Rik,[  0.86916789  83.05748597 318.4765631 ],[0.86916789 0.72070827 1.06903397],[3.8344113  3.017376   4.80814135],3.3
2810006K23Rik,[0.21542906 2.50810029 5.16735934],[0.21542906 0.09738729 0.42187418],[2.06026822 0.91204402 5.24598074],0.41
2810025M15Rik,[0.9965162  1.352961   8.10284371],[0.9965162  0.67585248 1.51322235],[ 5.98897063  3.10154889 10.86287586],3.44
2810408A11Rik,[0.09685277 0.39985366 1.        ],[0.00484264        nan        nan],[2.50091493        nan        nan],0.19
2810408I11Rik,[0.03326309 0.23391576 4.2824549 ],[0.03326309 0.01311181 0.06092792],[18.30768004  9.29620882 48.35322074],0.53
2810408M09Rik,[0.43692159 1.1762625  3.56796333],[0.43692159 0.20632428 0.83339053],[3.03330534 1.23529341 8.07219726],0.97
2810428I15Rik,[0.6174242  1.19645216 6.74687829],[0.6174242  0.36461218 1.00970407],[ 5.63907067  2.68271349 12.11260074],2.3
2810474O19Rik,[ 1.45563984 12.44530204 46.31548359],[1.45563984 1.07508923 1.97162293],[3.72152347 2.45790989 5.98138214],4.85
2900011O08Rik,[ 0.11069611 45.17295438 75.26601391],[0.12176572 0.07584447 0.21294048],[1.51621858 0.78208759 3.01599154],0.18
2900041M22Rik,[0.01273547 0.41816347 3.72588555],[0.00063677        nan        nan],[8.91011729        nan        nan],0.11
3010026O09Rik,[0.33659866 0.68204282 2.32044504],[0.01682993        nan        nan],[3.40219847        nan        nan],0.77
3110040N11Rik,[0.18729955 1.29935258 6.45831387],[0.18729955 0.105706   0.30671467],[4.97040907 2.64628796 9.93201731],0.81
3110043O21Rik,[0.21189687 0.42900005 1.        ],[0.01059484        nan        nan],[2.33100206        nan        nan],0.33
3110045C21Rik,[0.00355578 0.1575817  1.9318546 ],[0.00017779        nan        nan],[12.25938436         nan         nan],0.04
3110052M02Rik,[0.01789003 0.20251467 1.        ],[1.38777878e-17            nan            nan],[4.93791387        nan        nan],0.08
3110082I17Rik,[ 1.41146812  9.50420313 32.46153822],[1.48204153 1.06967814 2.02187882],[3.10809853 2.06176467 5.21109972],4.2
3830406C13Rik,[1.97513611e-01 1.57282570e+02 2.29873325e+02],[0.20738929 0.13212688 0.37204312],[1.28614713 0.70168276 2.40915675],0.29
4831440E17Rik,[0.06723711 1.40881973 2.63019474],[0.00336186        nan        nan],[1.86694912        nan        nan],0.12
4833439L19Rik,[0.6753584  1.36929046 2.57738574],[0.6753584  0.11506554 1.86604683],[1.88227832        nan        nan],0.85
4930430F08Rik,[0.04674321 0.23945438 2.93042791],[0.00233716        nan        nan],[12.237938       nan       nan],0.48
4930452B06Rik,[3.23489592e-01 1.90795853e+02 3.73430816e+02],[0.33966407 0.24920714 0.46985721],[1.8985103  1.26518403 2.81413755],0.63
4930453N24Rik,[ 0.52818945  7.63578734 17.41609393],[0.52818945 0.31731176 0.78383656],[2.2808511  1.40181452 4.65887115],1.13
4930506M07Rik,[0.02097032 0.44831547 1.        ],[6.9388939e-18           nan           nan],[2.23057213        nan        nan],0.04
4930550C14Rik,[0.0180041  0.26941294 2.72619584],[0.0009002       nan       nan],[10.11902333         nan         nan],0.17
4930558J18Rik,[0.10140006 0.40186465 1.        ],[0.00507     nan     nan],[2.48840003        nan        nan],0.2
4930563E22Rik,[0.02048983 0.44800661 1.        ],[3.46944695e-18            nan            nan],[2.23210995        nan        nan],0.04
4931406P16Rik,[0.46957059 0.0150271  1.        ],[0.02347853        nan        nan],[0.66546436        nan        nan],0.97
4931408D14Rik,[0.02049224 0.44806744 1.        ],[0.00102461        nan        nan],[2.23180689        nan        nan],0.04
4931414P19Rik,[0.23041201 1.03076934 1.11647   ],[5.55111512e-17            nan            nan],[1.83051069        nan        nan],0.2
4931428F04Rik,[0.04600073 1.39464751 3.71843735],[2.08166817e-17            nan            nan],[2.6662202       nan       nan],0.12
4933404O12Rik,[  0.44792025 119.8651259  145.58810745],[0.47031626 0.32251522 0.70144873],[1.14172342 0.73231551 1.7894871 ],0.54
4933426M11Rik,[ 0.16485356 35.91764591 81.37425189],[0.16485356 0.10959557 0.26379822],[2.19761129 1.28602758 3.86323886],0.37
4933427D14Rik,[0.13752653 1.30294499 2.67990699],[5.55111512e-17            nan            nan],[2.05680746        nan        nan],0.26
4933430I17Rik,[0.0449971  2.16923859 3.14574854],[2.08166817e-17            nan            nan],[1.45016254        nan        nan],0.06
5330426P16Rik,[0.0207295  0.44821377 1.        ],[0.00103648        nan        nan],[2.23107825        nan        nan],0.04
5430416N02Rik,[0.88635717 5.19979087 9.71080965],[0.88635717 0.5294275  1.4926721 ],[1.8675385  0.93816122 3.97239213],1.41
5730455P16Rik,[0.22155517 0.85766961 5.68264943],[0.22155517 0.14321074 0.33230042],[ 6.6256859   3.94946277 11.32704967],1.17
5730508B09Rik,[0.1231254  5.23942932 8.90312157],[0.1231254  0.04332722 0.23284136],[1.69925407 0.82139601 5.40617683],0.2
5730559C18Rik,[0.24166346 0.68909567 1.        ],[0.24166346 0.04695678 1.30845372],[1.4511773       nan       nan],0.26
5830415F09Rik,[0.16441074 1.24836219 2.59039323],[0.00822054        nan        nan],[2.07503339        nan        nan],0.3
5830418K08Rik,[0.68369302 2.06421154 9.60010053],[0.68369302 0.48124485 0.99279897],[4.65073485 2.67378388 7.68584252],2.39
6230400D17Rik,[0.05839232 0.99094596 1.        ],[6.9388939e-18           nan           nan],[1.00913676        nan        nan],0.06
8030462N17Rik,[ 0.17370409  5.96283675 12.45748412],[0.18238929 0.09899041 0.29187351],[1.83848502 1.12486468 4.08694879],0.35
9030617O03Rik,[0.06681741 2.60803106 5.18027533],[0.06681741 0.01489496 0.15734118],[1.98627823        nan        nan],0.13
9030624J02Rik,[ 0.86792231 17.29230153 43.65099158],[0.86792231 0.60811363 1.16985594],[2.52430201 1.75545511 4.25833128],2.09
9130401M01Rik,[ 1.25132896  3.09396059 23.93140723],[1.25132896 0.97345976 1.64521452],[ 7.73487785  5.03309123 11.21589202],6.89
9330159F19Rik,[ 0.07265012  5.4964099  10.07202067],[0.07991514 0.04382814 0.15243496],[1.61257591 0.7608393  3.75286001],0.13
9430016H08Rik,[0.41363331 0.70984789 5.83223758],[0.41363331 0.25503402 0.64291556],[ 8.21617937  4.45578358 15.75303044],2.15
9430038I01Rik,[ 0.39794637  3.31698642 10.79702607],[0.39794637 0.24622499 0.59970208],[3.25507093 1.87202839 6.21755209],1.16
9530068E07Rik,[0.33542227 0.5206679  1.76013261],[0.01677111        nan        nan],[3.38052836        nan        nan],0.69
9630033F20Rik,[ 1.50874105  3.29485736 29.82737505],[1.50874105 1.17854973 1.97560681],[ 9.052706    5.77680865 13.29602946],9.37
9930021J03Rik,[0.18943681 0.68095912 2.80739297],[0.00947184        nan        nan],[4.12270412        nan        nan],0.61
9930104L06Rik,[0.10147463 1.65189442 4.66229982],[0.10147463 0.04304247 0.20191459],[2.82239577 1.22817512 7.28663766],0.27
A230046K03Rik,[0.25140479 0.21855404 5.49453119],[0.25140479 0.15132398 0.38900164],[25.14037816 14.2314625  47.54707404],2.94
A230050P20Rik,[0.19286097 3.50658118 4.36189295],[0.00964305        nan        nan],[1.24391614        nan        nan],0.23
A330069E16Rik,[1.14874721e-01 1.38188681e+02 4.91263414e+02],[0.12061846 0.09226219 0.16732718],[3.44836864 2.1638567  5.83697231],0.41
A430005L14Rik,[ 0.44893763 10.38743351 65.14153771],[0.40404387 0.32568911 0.54080918],[7.21186502 5.03613338 9.91751697],2.7
A630089N07Rik,[0.23586744 1.66834493 9.23683969],[0.23586744 0.16293379 0.3513225 ],[5.53652875 3.23940448 8.88316578],1.14
A730017L22Rik,[0.00359492 0.15758146 1.93184409],[5.20417043e-18            nan            nan],[12.25933597         nan         nan],0.04
A730090N16Rik,[ 0.0390268   5.35189197 10.30756575],[0.0390268  0.00755765 0.09504677],[1.92596671        nan        nan],0.07
A930004D18Rik,[ 0.13171566 26.57339978 30.5075767 ],[0.13171566 0.0717826  0.25524726],[1.14804944 0.54455039 2.45124591],0.15
A930005H10Rik,[0.08176483 0.4828804  1.33734559],[1.38777878e-17            nan            nan],[2.76951722        nan        nan],0.19
A930013F10Rik,[  0.17885997 155.74813833 176.56446762],[0.19674597 0.11559072 0.36457531],[0.96360572 0.5007968  1.90267627],0.2
AA467197,[8.82371053e-02 5.52000727e+01 3.58844861e+02],[0.08823711 0.06810702 0.12152588],[ 6.50080414  4.06073217 10.93899369],0.57
AA986860,[7.38455340e-01 7.41123740e+02 9.85968741e+02],[0.81230087 0.62574109 1.14013167],[0.93125895        nan        nan],0.98
AA987161,[ 0.15278345  6.91741644 16.89197383],[0.15278345 0.08447347 0.2507454 ],[2.44194837 1.36572516 5.00793946],0.37
AI314180,[0.13048549 0.35999455 3.67284546],[0.13048549 0.05394746 0.22978066],[10.20250304  5.18149018 27.51602989],0.98
AI413582,[0.28357193 1.65244859 7.00249349],[0.28357193 0.19142742 0.4267562 ],[4.2376468  2.47274571 6.96626937],1.03
AI414108,[0.2802221  1.62649744 9.1150687 ],[0.2802221  0.19167014 0.39762241],[5.60410884 3.53201387 9.1560645 ],1.34
AI462493,[ 0.79011078  1.28006622 11.31018265],[0.79011078 0.5644906  1.12295743],[ 8.8356231   5.15086325 14.52665535],4.32
AI464131,[0.06454438 0.78767553 9.86005956],[0.06454438 0.02279115 0.11697268],[12.89345806  5.96655551 39.83701712],0.75
AI597479,[ 0.19561101  3.25280054 10.55354776],[0.19561101 0.12078745 0.31573852],[3.24444971 1.80290364 5.88086345],0.6
AI661453,[0.11412397 1.76608441 4.84927616],[0.11412397 0.04872888 0.22503453],[2.74577825 1.25811451 7.0819641 ],0.29
AI846148,[  0.61196517 166.56696402 193.81618248],[0.61196517 0.42790016 0.89268699],[1.16359317 0.77229272 1.76002716],0.71
AU019823,[0.57007362 1.28703603 3.46301159],[0.57007362 0.25716775 1.16575534],[2.69068737 0.95375503 7.94927983],1.06
AU022252,[ 1.01003166 20.52686443 55.58722542],[1.01003166 0.71586722 1.32956412],[2.70802322 1.97674398 4.59444777],2.61
AU040320,[0.05437388 0.08835097 1.81758394],[6.9388939e-18           nan           nan],[20.57231347         nan         nan],0.69
AW549877,[0.7517222  0.69892934 6.57721623],[0.7517222  0.50938405 1.105505  ],[ 9.41041658  5.29946025 16.72988065],3.41
Aacs,[  0.41859882 154.99726661 194.06909723],[0.41859882 0.33293586 0.61760831],[1.25208077 0.80768209 1.93082571],0.52
Aagab,[0.6296176  1.44523715 4.04942105],[0.6296176  0.16555745 1.44762535],[2.80190766        nan        nan],1.23
Aak1,[0.21482067 1.30173711 4.43768149],[0.21482067 0.11966401 0.37083462],[3.40904584 1.70600009 6.85995371],0.63
Aamp,[  3.84113385 114.97059589 369.84780888],[3.84113385 2.70554823 4.81760456],[3.21689042 2.59178375 3.95038109],11.96
Aard,[0.20262532 0.36976775 3.34924315],[0.20262532 0.05904389 0.38970871],[9.0576941       nan       nan],1.19
Aars,[ 1.88693888  6.08668329 40.38387734],[1.88693888 1.44583112 2.56825871],[ 6.63479195  3.98098679 10.02306204],9.56
Aars2,[1.05585917 1.91899097 2.81789224],[1.05585917 0.16834366 3.25539773],[0.23494783        nan        nan],1.0
Aarsd1,[ 0.77982119  1.81017191 11.48651914],[0.77982119 0.58135494 1.06951746],[6.34554048 3.96306963 9.67008981],3.46
Aasdhppt,[ 1.14868212  4.7154749  20.93721982],[1.14868212 0.79179039 1.62627833],[4.44010842 2.6452771  8.13059417],4.1
Aatf,[0.73791775 1.24436039 5.6735398 ],[0.73791775 0.47691855 1.17231622],[4.55940245 2.28063726 8.58311484],2.11
Abca1,[0.00493705 0.17403745 4.22399089],[0.00024685        nan        nan],[24.2705853        nan        nan],0.12
Abca3,[4.65303468e-03 3.68245946e-01 8.73747318e+00],[0.00465303 0.00128702 0.0134159 ],[23.72727593         nan         nan],0.11
Abca5,[ 0.0405173   5.49557703 10.52339754],[0.0405173  0.00780777 0.10382399],[1.91488491        nan        nan],0.08
Abca7,[0.25167722 3.3486641  4.77298563],[0.25167722 0.09246648 0.52763547],[1.42534022 0.64610822 4.62316887],0.33
Abcb10,[1.81641099 0.93554048 4.27246675],[1.81641099 0.75582522 6.39981722],[4.5668433       nan       nan],2.82
Abcb6,[0.30936572 0.52973743 2.27130867],[1.11022302e-16            nan            nan],[4.28761223        nan        nan],0.84
Abcb8,[0.38341231 2.29042768 5.4909357 ],[0.38341231 0.21272085 0.68089857],[2.39734079 1.14696821 5.1140105 ],0.79
Abcc1,[0.55262437 2.81334088 9.90286875],[0.55262437 0.39314645 0.83148715],[3.5199676  1.92623618 5.61717022],1.63
Abcc10,[  0.75871404 312.63336461 419.6642594 ],[0.75871404 0.57777667 1.06726951],[1.30208218 0.92140107 1.86212458],1.02
Abcc4,[ 0.83482991 44.36422428 64.76935872],[0.83482991 0.64059463 1.16665099],[1.37234896 1.01818044 1.98489704],1.2
Abcc5,[ 1.04563381 33.6254698  89.14814237],[1.04563381 0.73959292 1.35541784],[2.65120883 1.95515312 3.42472825],2.69
Abcd4,[ 0.52927209  7.08876761 25.2064452 ],[0.52927209 0.3781864  0.73594795],[3.55582896 2.27333543 5.67769767],1.75
Abce1,[ 0.91068295  3.33214361 17.73442147],[0.91068295 0.68831937 1.25475441],[5.32222604 3.20386383 8.0158072 ],3.81
Abcf1,[ 2.6032438  11.59967053 43.76108111],[2.6032438  1.81752221 3.78022855],[3.88579257 2.14700037 6.87920124],8.02
Abcf2,[ 1.67330159  7.54798514 20.05723295],[1.67330159 1.14247834 2.58995463],[2.65729629 1.46979226 4.88581925],3.64
Abcf3,[ 0.55458617  2.58685069 15.80172646],[0.55458617 0.41088283 0.76681753],[6.1084803  3.84320668 9.20734144],2.79
Abcg2,[  0.4992884  119.00567967 132.81102789],[0.4992884  0.34192193 0.7587052 ],[1.11600579 0.7030613  1.73810359],0.55
Abhd11,[0.69684268 1.07064754 3.99523378],[0.69684268 0.26334798 1.53745647],[ 3.73160505  1.09514918 14.80052054],1.58
Abhd12,[  0.89211063 111.51898804 118.84012284],[0.93671616 0.6667805  1.36430914],[1.00171027 0.67796564 1.46975948],0.94
Abhd13,[0.05055719 0.19810069 1.89129878],[0.00252786        nan        nan],[9.547159      nan      nan],0.38
Abhd16a,[0.61060733 2.17429056 2.33055669],[0.03053037        nan        nan],[1.07186994        nan        nan],0.51
Abhd4,[0.46025388 0.64843299 3.09725796],[0.02301269        nan        nan],[4.77652742        nan        nan],1.29
Abhd5,[ 0.4707758  45.49540575 57.07601329],[0.49431459 0.32863706 0.70917693],[1.25454455 0.8099573  1.91958987],0.58
Abhd6,[0.28095678 1.60298994 7.35748453],[0.28095678 0.19544236 0.41416443],[4.58985071 2.74196577 7.27513573],1.1
Abhd8,[0.05518545 0.2975579  1.73039804],[2.08166817e-17            nan            nan],[5.81533216        nan        nan],0.27
Abi1,[  2.05460152  50.58278232 102.45499279],[1.64368122 1.12100294 2.60339266],[2.93696259 1.73457314 5.72414415],4.0
Abl2,[0.38894851 0.48674811 4.32494342],[0.38894851 0.24463336 0.59155702],[ 8.88538315  5.06362646 16.36405304],1.92
Ablim1,[ 1.13809612  4.98855364 19.6486084 ],[1.13809612 0.8397513  1.64994239],[3.93873852 2.26771885 6.22573831],3.65
Abr,[ 0.6553281   1.49862072 10.61895462],[0.6553281  0.47319133 0.91140693],[ 7.08581866  4.35965932 11.33093673],3.23
Abtb1,[0.42394223 2.28103525 5.7529459 ],[0.42394223 0.25525907 0.73276409],[2.52207671 1.24322482 4.88613669],0.9
Abtb2,[0.06071846 1.23453417 3.18489818],[6.9388939e-18           nan           nan],[2.57983801        nan        nan],0.15
Acaa2,[ 0.33157621 50.26583361 82.73369005],[0.33157621 0.23563571 0.50472864],[1.59654528 1.0335141  2.5114096 ],0.54
Acad11,[ 0.15894811 63.14502982 97.22844588],[0.15894811 0.09476916 0.26171862],[1.53976403 0.86731216 2.84462034],0.24
Acad12,[1.80614167e-01 1.45364960e+02 1.87747084e+02],[0.18061417 0.13565359 0.31343403],[1.25280997 0.68594387 2.32018733],0.23
Acad8,[ 0.33921433 18.4432795  41.88713184],[0.33921433 0.2101951  0.49076562],[2.27113252 1.51916695 3.44204562],0.76
Acad9,[0.25241447 0.34440089 2.46897648],[0.01262072        nan        nan],[7.16890264        nan        nan],1.04
Acadl,[ 0.91812252  5.54587541 10.00000567],[0.91812252 0.57649842 1.51029862],[1.80314286 0.93086365 3.54725347],1.42
Acadm,[ 1.35879742  6.26420112 12.23548807],[1.35879742 0.82736542 2.25193141],[1.95323998 0.98395727 4.2832499 ],2.18
