Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Cstf2,[ 0.12298164  2.39513505 13.10629311],[0.12298164 0.07296979 0.19533981],[ 5.63620907  3.11960462 10.32496411],0.64
Ctps2,[  1.48326473  91.31596854 105.63577158],[1.48326473 0.92094383 2.03918773],[1.15681598 0.84415469 1.55648729],1.69
Cul4b,[  1.31779259 166.00310978 412.87682738],[1.31779259 1.03902612 1.67648762],[2.48716321 1.91715509 3.2488054 ],3.25
Cxx1c,[  1.05549582 145.68919554 159.90177245],[1.05549582 0.80067865 1.45037653],[1.09755409 0.78101168 1.49186854],1.15
Ddx3x,[ 0.51344126  2.20735028 29.74724024],[0.51344126 0.40241106 0.65845746],[13.47644754  9.63623973 18.53027436],5.61
Diap2,[0.1576889  0.94485666 4.4388808 ],[0.1576889  0.07566375 0.27954565],[ 4.69794096  2.31569124 10.96260135],0.63
Dkc1,[  0.8744202   65.1310006  448.70456169],[0.8744202  0.74623805 1.03777679],[6.88926253 5.70027573 8.36152403],5.94
Dlg3,[ 0.11820743 14.47341692 69.32171546],[4.16333634e-17            nan            nan],[4.93327646 3.0226535  8.31202284],0.56
Dmd,[  0.32050018  69.18447354 110.85511777],[0.33652519 0.23273215 0.39762863],[1.60231208 1.06917629 2.39062259],0.51
Dnase1l1,[0.21526956 1.60273878 5.03176501],[0.21526956 0.10463741 0.36886057],[3.13947918 1.60351581 7.42235307],0.6
Dock11,[3.41724894e-02 2.60145694e+01 3.93336850e+01],[1.38777878e-17            nan            nan],[1.51198678 0.47155281 5.69681939],0.05
Dusp9,[ 0.10963096  3.15925496 12.86737375],[0.10963096 0.06381621 0.1688376 ],[4.07291399 2.34401612 7.76819753],0.43
Ebp,[  1.6781241  269.21536864 541.26279685],[1.6781241  1.35294764 2.08323165],[2.01051968 1.5871006  2.53631932],3.35
Eda,[0.08295669 1.91407687 5.17953307],[0.08295669 0.03225308 0.16577185],[2.70602146 1.19953282 7.57439588],0.22
Eda2r,[  0.70365628 104.46091999 383.86282609],[0.73883909 0.56955562 0.87620564],[3.67470271 2.88448794 4.7545537 ],2.57
Efnb1,[ 0.84277147  5.17588049 34.59054778],[0.84277147 0.66028647 1.05694587],[6.88351756 4.75980198 9.53772049],4.84
Eif1ax,[ 1.67646079 11.08144331 96.08081744],[1.67646079 1.36783841 2.09672902],[ 8.67042449  6.10603974 11.81077649],12.63
Elf4,[ 0.25415883  2.4165531  30.17517906],[0.25415883 0.18792041 0.34285834],[12.48686779  8.49004138 18.47955906],2.87
Elk1,[0.51086283 2.25688573 4.6316098 ],[0.51086283 0.26349682 0.94645629],[2.05221281 0.90228889 4.98081313],0.85
Emd,[ 1.71708273  7.21713222 43.63802296],[1.71708273 1.3378443  2.31415023],[6.04644915 3.86163568 8.99365507],8.39
Enox2,[ 0.25845264 14.07918352 42.25413879],[0.24553001 0.17396884 0.35341861],[3.00117821 2.11513385 4.34031388],0.76
Ercc6l,[0.04424322 0.29897047 3.57171352],[6.9388939e-18           nan           nan],[11.94670996         nan         nan],0.46
F8,[0.07965952 1.07445162 1.19577905],[0.00398298        nan        nan],[1.11292033        nan        nan],0.08
Fam120c,[ 0.14945963 29.54174083 69.25270561],[0.14945963 0.09498571 0.23760603],[2.34423239 1.34717737 4.27390296],0.35
Fam122b,[0.14654659 2.32267489 3.57323613],[0.00732733        nan        nan],[1.53841424        nan        nan],0.21
Fam50a,[  1.60110245 281.79151112 353.20333409],[1.68115758 1.28156592 2.18050333],[1.21581815 0.90338269 1.5928711 ],2.0
Fancb,[0.17833484 2.53773932 7.44627366],[0.17833484 0.1054702  0.29264611],[2.93421535 1.60796015 5.50606419],0.49
Fgd1,[0.091286   0.91217805 4.16865992],[0.091286   0.01725943 0.18562948],[4.57000685        nan        nan],0.38
Fhl1,[7.77975371e-01 3.66932399e+01 1.29196183e+03],[0.77797537        nan        nan],[35.20980511 29.95883171 41.83603029],26.82
Figf,[  1.22672266  41.61610314 203.65914924],[1.22672266 0.94784337 1.50534401],[4.89375828 3.99533545 6.00873311],5.83
Flna,[1.90110814e+00 6.02216118e+01 2.23575298e+03],[1.90110814        nan        nan],[37.12542587 32.55846727 42.63718422],68.42
Fmr1,[ 0.26430818  3.38994482 23.17949819],[0.26430818 0.1945705  0.36658707],[ 6.83772138  4.5009339  10.2529989 ],1.68
Ftsj1,[0.42591912 2.12941458 8.39096759],[0.42591912 0.29334436 0.61647993],[3.94050442 2.36818927 6.5076403 ],1.4
Fundc1,[ 1.29917999  3.48955429 14.67094331],[1.29917999 0.92884113 1.92471418],[4.20424561 2.22148736 7.10511778],3.98
Fundc2,[ 0.48041617  0.4283695  11.95437889],[0.48041617 0.31487446 0.71481993],[27.90669953 15.75641324 50.32920805],6.32
G6pdx,[  1.29697959  15.65518562 111.05061692],[1.29697959 1.06023856 1.59872263],[7.09353563 5.5913728  9.58081454],8.5
