Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Mtmr10,[ 0.20047255 62.78276496 76.30842437],[0.20047255 0.12272856 0.35391176],[1.17897279 0.63787092 2.22372021],0.24
Mtmr12,[0.72059329 1.64515879 2.14915695],[1.11022302e-16            nan            nan],[5.18621856        nan        nan],0.65
Mtmr14,[0.11429957 0.08452889 2.66267646],[5.55111512e-17            nan            nan],[31.50019576         nan         nan],1.53
Mtmr2,[0.35603498 1.28754328 5.18370004],[0.35603498 0.17333847 0.67123225],[ 4.02603945  1.69367108 10.13863498],1.12
Mtmr3,[0.36032927 0.95322545 3.21728072],[0.36032927 0.14440668 0.68437558],[ 3.37515193  1.42380015 10.62322005],0.88
Mtmr4,[0.06780505 0.16363962 8.56580846],[0.06780505 0.01690126 0.14680506],[52.34556634         nan         nan],2.51
Mtmr7,[ 0.43184709  3.02590656 15.25265717],[0.43184709 0.32249877 0.59598341],[5.04069007 3.25524674 7.4813412 ],1.9
Mtor,[ 0.60847279  2.84292919 10.67198906],[0.60847279 0.42428375 0.92294092],[3.75387086 2.07680385 6.20510887],1.88
Mtpap,[0.61448845 1.24419934 3.25284985],[0.61448845 0.26629164 1.27398224],[2.61441213 0.89484662 8.26045072],1.08
Mtpn,[1.27880199 2.52699404 5.83067603],[0.0639401       nan       nan],[9.16020516        nan        nan],1.96
Mtr,[0.51471714 0.69021474 2.36646623],[2.22044605e-16            nan            nan],[3.42859414        nan        nan],1.01
Mtrf1,[0.56114341 1.83058787 5.87690817],[0.56114341 0.31596898 0.96366347],[3.21039392 1.47598349 7.13927214],1.38
Mtss1,[0.46898534 1.23858522 6.38479209],[0.46898534 0.280904   0.72843616],[ 5.1549074   2.76401764 10.45002927],1.75
Mttp,[ 0.06531559 23.51349281 30.64278452],[1.38777878e-17            nan            nan],[1.30320003 0.5045537  3.59495554],0.08
Mtus1,[0.49408281 2.81346627 3.60444135],[0.02470414        nan        nan],[3.47188667        nan        nan],0.54
Mul1,[0.01429812 0.0778717  5.14461441],[0.00071491        nan        nan],[66.06526439         nan         nan],0.8
Mum1l1,[0.14524834 1.9384883  2.44322211],[0.00726242        nan        nan],[5.00368858        nan        nan],0.17
Mus81,[ 0.3336608   7.69458028 13.22372659],[0.3336608  0.18589287 0.53387693],[1.71857673 1.01883101 3.59457039],0.55
Mut,[ 0.7059946  81.64722134 91.04316784],[0.7059946  0.50655244 1.04071659],[1.11507981 0.73527664 1.61831954],0.78
Mvd,[ 0.32863097  2.4277172  10.62855905],[0.32863097 0.23376796 0.47975918],[4.37800542 2.64381185 6.81813971],1.27
Mvk,[ 0.66838319 76.19558058 95.97664185],[0.70180235 0.51446541 1.01935322],[1.18403249 0.81318726 1.72470501],0.83
Mvp,[  0.4522153  117.56090347 354.07123967],[0.4522153  0.34900781 0.58082592],[3.01181115 2.23560901 4.09467913],1.36
Mxd3,[ 0.29881694  6.39758418 19.04192529],[0.29881694 0.20061842 0.43878204],[2.97642434 1.94251166 4.99411162],0.85
